Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11246978,0,"Tuesday, February 19, 2013 23:32:25 UTC",33.4722,-116.8805,1.1,15.60,35,"Southern California"
ci,11246970,0,"Tuesday, February 19, 2013 23:22:34 UTC",33.5757,-117.5978,1.8,7.70,20,"Greater Los Angeles area, California"
ak,10658588,2,"Tuesday, February 19, 2013 23:02:00 UTC",54.9654,-159.0219,3.1,4.80,15,"south of Alaska"
ci,11246946,0,"Tuesday, February 19, 2013 22:58:22 UTC",33.5990,-116.8140,1.0,11.30,27,"Southern California"
nn,00403749,9,"Tuesday, February 19, 2013 22:31:32 UTC",38.0302,-118.0423,1.5,0.00,14,"Nevada"
us,c000fad1,8,"Tuesday, February 19, 2013 22:29:00 UTC",-17.4156,-173.4243,5.7,34.60,353,"Tonga"
ak,10658547,2,"Tuesday, February 19, 2013 22:17:23 UTC",59.9639,-153.4852,1.1,9.20, 9,"Southern Alaska"
us,c000facp,6,"Tuesday, February 19, 2013 22:15:11 UTC",-10.9706,165.8505,5.0,36.70,44,"Santa Cruz Islands"
ci,11246906,0,"Tuesday, February 19, 2013 22:13:04 UTC",33.4912,-116.5883,1.0,11.70,28,"Southern California"
nc,71940600,0,"Tuesday, February 19, 2013 21:55:30 UTC",38.8477,-122.8180,1.6,1.40,19,"Northern California"
ci,11246890,0,"Tuesday, February 19, 2013 21:51:32 UTC",33.3188,-114.9395,1.6,7.00,15,"Southern California"
ci,11246882,0,"Tuesday, February 19, 2013 21:50:10 UTC",32.8938,-116.9205,1.4,5.60,12,"San Diego County urban area, California"
nn,00403745,9,"Tuesday, February 19, 2013 21:41:10 UTC",39.4101,-119.9220,1.1,8.30,15,"Nevada"
ci,11246866,0,"Tuesday, February 19, 2013 21:01:22 UTC",33.4937,-116.4335,1.1,3.80,36,"Southern California"
ak,10658511,1,"Tuesday, February 19, 2013 20:56:01 UTC",63.2446,-149.3661,1.4,70.00,10,"Central Alaska"
ci,11246858,0,"Tuesday, February 19, 2013 20:43:38 UTC",33.6068,-116.9280,1.2,7.50,26,"Southern California"
uw,60507101,2,"Tuesday, February 19, 2013 20:19:09 UTC",44.5722,-122.4908,1.0,3.30,12,"Oregon"
ak,10658493,2,"Tuesday, February 19, 2013 19:56:44 UTC",64.0656,-148.2547,1.2,1.00,16,"Central Alaska"
nc,71940550,0,"Tuesday, February 19, 2013 19:42:41 UTC",37.5808,-118.8600,1.1,6.40,14,"Central California"
nc,71940530,1,"Tuesday, February 19, 2013 19:21:32 UTC",37.5377,-118.7962,1.4,12.00,24,"Central California"
nc,71940510,0,"Tuesday, February 19, 2013 18:44:09 UTC",37.5390,-118.8342,1.1,6.30,12,"Central California"
uw,60507081,1,"Tuesday, February 19, 2013 18:25:38 UTC",43.3093,-123.2802,1.1,0.00, 8,"Oregon"
nc,71940490,1,"Tuesday, February 19, 2013 18:11:03 UTC",38.8105,-122.8122,1.2,1.70,26,"Northern California"
ak,10658447,1,"Tuesday, February 19, 2013 18:08:57 UTC",62.4266,-149.3300,2.5,23.60,43,"Central Alaska"
ci,11246826,0,"Tuesday, February 19, 2013 18:00:47 UTC",33.0603,-116.4437,1.4,11.30,42,"Southern California"
ak,10658440,2,"Tuesday, February 19, 2013 17:53:39 UTC",59.5740,-152.9600,2.0,95.10,24,"Southern Alaska"
ak,10658434,2,"Tuesday, February 19, 2013 17:21:27 UTC",61.5766,-150.6524,1.6,45.40,24,"Southern Alaska"
ci,11246786,0,"Tuesday, February 19, 2013 17:11:34 UTC",35.7578,-117.4753,1.4,1.90,18,"Southern California"
ci,11246770,3,"Tuesday, February 19, 2013 17:06:43 UTC",33.1763,-115.6013,1.4,0.00,11,"Southern California"
ci,11246762,2,"Tuesday, February 19, 2013 16:57:25 UTC",33.1642,-115.6097,1.1,0.10,10,"Southern California"
nn,00403704,9,"Tuesday, February 19, 2013 16:15:54 UTC",38.0149,-118.0565,1.7,7.10,16,"Nevada"
nn,00403703,9,"Tuesday, February 19, 2013 15:26:31 UTC",38.0372,-118.0280,1.4,5.10,10,"Nevada"
nn,00403699,9,"Tuesday, February 19, 2013 15:06:13 UTC",38.0218,-118.0188,1.7,5.50,14,"Nevada"
us,2013lval,5,"Tuesday, February 19, 2013 14:17:42 UTC",31.2755,105.2122,4.8,6.80,44,"eastern Sichuan, China"
ci,11246738,2,"Tuesday, February 19, 2013 14:16:36 UTC",36.0253,-117.7078,1.7,2.30,30,"Central California"
ci,11246722,0,"Tuesday, February 19, 2013 14:09:08 UTC",36.0188,-117.7032,2.1,0.90,30,"Central California"
ak,10658388,2,"Tuesday, February 19, 2013 14:05:48 UTC",61.6706,-149.8524,1.1,30.80,14,"Southern Alaska"
nc,71940375,3,"Tuesday, February 19, 2013 13:43:07 UTC",37.8620,-121.7822,2.7,14.50,125,"San Francisco Bay area, California"
ci,11246706,0,"Tuesday, February 19, 2013 13:41:16 UTC",33.4878,-116.5892,1.2,10.80,48,"Southern California"
uu,60013597,4,"Tuesday, February 19, 2013 13:38:02 UTC",42.4010,-111.5455,1.3,4.60,18,"southern Idaho"
nc,71940365,0,"Tuesday, February 19, 2013 13:32:27 UTC",38.8095,-122.8077,1.4,3.20,17,"Northern California"
ak,10658376,1,"Tuesday, February 19, 2013 13:31:55 UTC",61.5629,-149.6817,2.0,22.20,25,"Southern Alaska"
nc,71940360,0,"Tuesday, February 19, 2013 13:21:31 UTC",38.7577,-122.7242,1.4,2.50,23,"Northern California"
