Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10657446,1,"Sunday, February 17, 2013 11:16:44 UTC",63.3541,-145.1090,1.1,19.50, 5,"Central Alaska"
nn,00403455,9,"Sunday, February 17, 2013 11:03:15 UTC",37.4625,-115.5483,1.4,8.10,15,"Nevada"
nn,00403454,9,"Sunday, February 17, 2013 10:50:58 UTC",38.0547,-118.0473,1.6,4.10, 7,"Nevada"
us,c000f8xd,6,"Sunday, February 17, 2013 10:48:37 UTC",25.7498,127.5129,4.2,41.40,20,"Ryukyu Islands, Japan"
ci,11245754,0,"Sunday, February 17, 2013 10:44:06 UTC",34.8873,-120.3087,2.4,0.10,32,"Central California"
ci,11245746,0,"Sunday, February 17, 2013 10:42:41 UTC",32.9003,-116.2952,1.4,11.80,59,"Southern California"
ak,10657438,1,"Sunday, February 17, 2013 10:33:08 UTC",62.2249,-145.7083,1.5,30.20, 8,"Central Alaska"
nc,71939125,0,"Sunday, February 17, 2013 10:24:05 UTC",36.5510,-121.1002,1.8,3.20,10,"Central California"
nm,021713a,A,"Sunday, February 17, 2013 10:16:58 UTC",36.4905,-89.5665,1.7,9.40,29,"southeastern Missouri"
ak,10657429,1,"Sunday, February 17, 2013 10:06:29 UTC",60.9336,-150.8131,2.1,0.00,14,"Kenai Peninsula, Alaska"
ak,10657430,1,"Sunday, February 17, 2013 10:05:04 UTC",61.4706,-146.5556,1.6,19.90, 6,"Southern Alaska"
ci,11245730,0,"Sunday, February 17, 2013 09:13:31 UTC",32.7963,-115.9225,1.4,22.50,22,"Southern California"
nm,021713b,A,"Sunday, February 17, 2013 08:46:22 UTC",36.3170,-89.5460,1.5,10.20,14,"Tennessee"
ak,10657423,1,"Sunday, February 17, 2013 08:27:51 UTC",62.8552,-149.1061,1.2,2.80,10,"Central Alaska"
ak,10657412,1,"Sunday, February 17, 2013 07:52:34 UTC",61.9555,-150.4998,2.4,64.50,28,"Southern Alaska"
nn,00403452,9,"Sunday, February 17, 2013 07:46:50 UTC",36.4970,-116.5850,1.7,6.00,28,"Central California"
nn,00403450,9,"Sunday, February 17, 2013 07:44:07 UTC",38.0192,-118.0583,1.3,7.30, 9,"Nevada"
ci,11245674,0,"Sunday, February 17, 2013 07:26:48 UTC",34.0555,-117.5587,1.0,12.90,37,"Greater Los Angeles area, California"
ci,11245666,0,"Sunday, February 17, 2013 07:04:23 UTC",33.4667,-117.1183,1.1,15.60,46,"Southern California"
ci,11245658,0,"Sunday, February 17, 2013 06:58:21 UTC",33.0472,-116.4383,1.8,12.70,84,"Southern California"
nn,00403449,9,"Sunday, February 17, 2013 06:56:08 UTC",38.0255,-118.0968,1.4,13.50,16,"Nevada"
nc,71939085,1,"Sunday, February 17, 2013 06:49:42 UTC",38.7943,-122.8002,1.6,3.60,30,"Northern California"
nc,71939075,0,"Sunday, February 17, 2013 06:19:21 UTC",38.8742,-122.7122,1.1,1.90, 6,"Northern California"
nc,71939070,1,"Sunday, February 17, 2013 06:14:20 UTC",38.7958,-122.7355,1.6,1.80,30,"Northern California"
us,c000f8v6,8,"Sunday, February 17, 2013 05:42:08 UTC",36.6793,21.6770,5.0,37.30,204,"southern Greece"
ak,10657354,2,"Sunday, February 17, 2013 05:18:05 UTC",57.4368,-156.8169,3.8,132.40,21,"Alaska Peninsula"
nn,00403445,9,"Sunday, February 17, 2013 05:04:22 UTC",38.0222,-118.2322,1.2,28.60, 9,"Nevada"
ak,10657351,1,"Sunday, February 17, 2013 04:53:21 UTC",60.7319,-151.2199,1.6,39.60, 7,"Kenai Peninsula, Alaska"
nc,71939045,1,"Sunday, February 17, 2013 04:06:38 UTC",38.8020,-122.7990,1.9,3.00,35,"Northern California"
nn,00403440,9,"Sunday, February 17, 2013 04:05:29 UTC",38.0431,-118.0351,1.4,8.70,11,"Nevada"
ci,11245642,0,"Sunday, February 17, 2013 03:56:29 UTC",33.8723,-117.8175,1.9,0.90,69,"Greater Los Angeles area, California"
ci,11245634,0,"Sunday, February 17, 2013 03:46:30 UTC",33.2817,-116.7793,1.0,9.80,51,"Southern California"
ci,11245626,0,"Sunday, February 17, 2013 03:44:57 UTC",34.3102,-116.4695,1.1,7.90,31,"Southern California"
ak,10657336,1,"Sunday, February 17, 2013 03:31:42 UTC",63.3289,-149.8089,2.1,97.80,35,"Central Alaska"
us,c000f8tj,8,"Sunday, February 17, 2013 03:12:55 UTC",37.3342,20.8113,4.9,10.70,234,"Ionian Sea"
ci,11245594,0,"Sunday, February 17, 2013 02:16:46 UTC",32.1933,-115.2128,2.5,15.70,11,"Baja California, Mexico"
ak,10657322,2,"Sunday, February 17, 2013 02:09:09 UTC",53.2214,-161.3517,3.7,25.60,31,"south of Alaska"
nn,00403434,9,"Sunday, February 17, 2013 01:58:58 UTC",39.5065,-119.3999,1.0,5.70, 9,"Nevada"
us,c000f8sr,6,"Sunday, February 17, 2013 01:35:08 UTC",36.4209,71.5782,5.0,102.30,120,"Hindu Kush region, Afghanistan"
ak,10657311,1,"Sunday, February 17, 2013 01:33:13 UTC",62.0644,-145.1582,1.5,21.60, 5,"Central Alaska"
us,c000f8tb,4,"Sunday, February 17, 2013 01:32:08 UTC",24.2908,121.4281,4.7,8.80,33,"Taiwan"
us,c000f8t3,3,"Sunday, February 17, 2013 01:16:48 UTC",-38.1052,-94.2804,4.9,16.00,19,"West Chile Rise"
nc,71938985,1,"Sunday, February 17, 2013 01:02:40 UTC",38.7935,-122.7793,1.0,3.50,24,"Northern California"
ci,11245586,0,"Sunday, February 17, 2013 00:49:06 UTC",34.3558,-116.1940,1.5,0.20,25,"Southern California"
nc,71938975,1,"Sunday, February 17, 2013 00:42:23 UTC",37.7400,-122.1557,2.6,9.00,61,"San Francisco Bay area, California"
ak,10657301,2,"Sunday, February 17, 2013 00:33:09 UTC",60.6268,-147.5295,1.2,10.00, 7,"Southern Alaska"
ci,11245570,0,"Sunday, February 17, 2013 00:32:13 UTC",34.1902,-117.5188,1.3,4.20,48,"Greater Los Angeles area, California"
ak,10657290,1,"Sunday, February 17, 2013 00:28:35 UTC",59.2126,-153.6502,3.2,102.70,61,"Southern Alaska"
ci,11245562,0,"Sunday, February 17, 2013 00:28:14 UTC",34.3582,-116.1907,2.0,0.20,47,"Southern California"
ak,10657281,1,"Saturday, February 16, 2013 23:55:33 UTC",60.5996,-147.2824,2.4,0.00,29,"Southern Alaska"
ak,10657278,1,"Saturday, February 16, 2013 23:54:38 UTC",60.5912,-147.3947,1.9,17.60,17,"Southern Alaska"
ak,10657272,2,"Saturday, February 16, 2013 23:16:26 UTC",63.1568,-150.8590,1.4,120.00,16,"Central Alaska"
ak,10657270,1,"Saturday, February 16, 2013 23:11:36 UTC",64.2543,-148.3876,1.0,14.20, 6,"Central Alaska"
us,c000f8r2,3,"Saturday, February 16, 2013 22:43:43 UTC",-15.6017,-13.2090,5.2,15.20,72,"southern Mid-Atlantic Ridge"
pr,13047005,0,"Saturday, February 16, 2013 22:43:26 UTC",19.4951,-65.2979,3.3,58.00, 6,"Puerto Rico region"
ci,11245546,0,"Saturday, February 16, 2013 22:28:29 UTC",33.9093,-116.6763,1.2,30.50,19,"Southern California"
nm,021713d,A,"Saturday, February 16, 2013 22:23:09 UTC",36.2738,-89.4725,1.0,5.60, 5,"Tennessee"
us,c000f8qt,3,"Saturday, February 16, 2013 22:20:28 UTC",-1.0299,123.4804,5.0,5.40,17,"Sulawesi, Indonesia"
nm,021713c,A,"Saturday, February 16, 2013 22:19:42 UTC",36.2753,-89.4745,1.3,5.80,11,"Tennessee"
us,c000f8qf,5,"Saturday, February 16, 2013 22:17:31 UTC",43.5047,146.7461,5.5,42.90,89,"Kuril Islands"
uw,60506676,2,"Saturday, February 16, 2013 22:09:05 UTC",46.5973,-119.8630,1.4,7.20,14,"Washington"
nc,71938890,0,"Saturday, February 16, 2013 21:59:39 UTC",38.7920,-122.7485,1.0,1.50,17,"Northern California"
us,c000f8q2,E,"Saturday, February 16, 2013 21:57:45 UTC",33.4237,-109.2326,3.3,5.00,16,"Arizona"
hv,60450687,1,"Saturday, February 16, 2013 21:41:22 UTC",19.1952,-155.5190,2.0,3.10,24,"Island of Hawaii, Hawaii"
ak,10657246,1,"Saturday, February 16, 2013 21:34:28 UTC",60.5382,-147.9243,1.7,19.60, 8,"Southern Alaska"
ak,10657240,1,"Saturday, February 16, 2013 21:20:09 UTC",64.8165,-149.0172,1.5,14.30,12,"Central Alaska"
us,c000f8pg,5,"Saturday, February 16, 2013 21:16:12 UTC",41.7738,13.5821,4.9,28.30,116,"southern Italy"
uw,60506666,1,"Saturday, February 16, 2013 20:53:57 UTC",49.0517,-122.6415,1.8,70.60,27,"British Columbia, Canada"
ci,11245522,0,"Saturday, February 16, 2013 20:51:09 UTC",33.3837,-117.1677,1.5,11.20,11,"Southern California"
us,c000f8p2,4,"Saturday, February 16, 2013 20:45:26 UTC",40.8258,144.7443,4.4,10.00,21,"off the east coast of Honshu, Japan"
pr,13047004,0,"Saturday, February 16, 2013 20:42:18 UTC",19.0983,-64.0761,3.2,108.00, 4,"Virgin Islands region"
nn,00403410,9,"Saturday, February 16, 2013 20:25:34 UTC",39.5142,-119.3930,1.1,12.60,11,"Nevada"
nn,00403402,9,"Saturday, February 16, 2013 19:55:02 UTC",38.6249,-119.4417,1.2,7.20, 9,"Nevada"
pr,13047003,0,"Saturday, February 16, 2013 19:52:17 UTC",18.4143,-66.1614,2.7,95.00,17,"San Juan urban area, Puerto Rico"
hv,60450652,1,"Saturday, February 16, 2013 19:23:15 UTC",19.3863,-155.2818,1.8,2.60,12,"Island of Hawaii, Hawaii"
